                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2003,                 6.5774,                 1.6387,                0.00197,                0.29825,                0.00917,                0.00487,                0.89164,                 12.549,                  2.102,                 0.0919,                 0.0009,                 0.0009
                      1,                 1.0664,                 5.4429,                 1.5726,                0.71893,                0.12281,                0.07527,                0.05892,                0.83293,                 7.4329,                 1.9901,               0.082825,              0.0018248,              0.0018248
                      2,                0.84413,                 4.3732,                 1.4292,                0.34192,                0.36842,                0.15832,                0.13395,                0.70633,                 7.9232,                 1.7197,                0.07367,              0.0026703,              0.0026703
                      3,                0.67984,                 3.5384,                 1.2945,                0.55555,                0.25263,                0.16279,                0.14303,                0.58959,                 4.9731,                 1.5222,               0.064437,              0.0034367,              0.0034367
                      4,                0.66661,                 3.2268,                 1.2892,                0.73803,                0.16813,                0.14128,                0.13173,                 0.5414,                 4.5864,                 1.3945,               0.055124,              0.0041238,              0.0041238
                      5,                  0.552,                 2.7715,                 1.1964,                0.75147,                0.15439,                0.14943,                 0.1342,                0.54883,                 4.0612,                 1.3835,               0.045732,              0.0047318,              0.0047318
                      6,                0.53298,                 2.6425,                 1.1759,                0.72313,                0.19117,                0.13499,                0.12043,                0.57418,                 3.7544,                 1.4288,               0.036261,              0.0052606,              0.0052606
                      7,                0.55595,                  2.464,                 1.1747,                0.66553,                0.17605,                0.14945,                0.13933,                 0.5604,                 4.4708,                 1.4019,                0.02671,              0.0057101,              0.0057101
                      8,                0.52536,                 2.1987,                 1.1479,                0.59039,                0.10526,                0.12147,                0.09884,                0.61139,                 4.4694,                 1.4073,                0.01708,              0.0060805,              0.0060805
                      9,                0.52102,                   2.19,                 1.1258,                0.01245,                0.38947,                0.13273,                0.09163,                0.58131,                 4.5941,                 1.4482,              0.0073716,              0.0063716,              0.0063716
                     10,                0.50108,                 1.9953,                 1.1228,                0.73049,                0.19544,                0.10023,                0.07986,                0.56809,                 4.2907,                 1.4359,                0.00604,                0.00604,                0.00604
                     11,                0.51088,                 1.8825,                 1.1291,                0.74158,                0.21142,                0.10486,                 0.0876,                0.56824,                 3.8553,                 1.4045,                0.00604,                0.00604,                0.00604
                     12,                0.50569,                 1.8052,                 1.1345,                0.68971,                0.11579,                0.13498,                0.12001,                0.56059,                 3.9411,                 1.4164,               0.005644,               0.005644,               0.005644
                     13,                0.48297,                 1.6478,                 1.1077,                0.61839,                0.04386,                0.07577,                0.06473,                0.70545,                 4.3959,                 1.5448,               0.005248,               0.005248,               0.005248
                     14,                0.46958,                 1.5846,                 1.1231,                0.43041,                0.08878,                0.07231,                0.06315,                0.64447,                 4.5983,                  1.456,               0.004852,               0.004852,               0.004852
                     15,                0.34698,                 1.7291,                 1.1481,                0.38365,                0.10526,                0.05557,                0.04759,                0.66972,                 4.3557,                  1.629,               0.004456,               0.004456,               0.004456
                     16,                0.31216,                 1.3652,                 1.1021,                0.45634,                 0.0614,                 0.0639,                0.05688,                0.58243,                 4.6541,                 1.5154,                0.00406,                0.00406,                0.00406
                     17,                 0.3008,                 1.1484,                 1.0864,                0.44933,                0.14709,                0.12701,                0.10772,                0.59253,                 4.4268,                 1.4661,               0.003664,               0.003664,               0.003664
                     18,                0.29569,                 1.0376,                 1.0502,                 0.0259,                0.29649,                0.10659,                0.09446,                0.55281,                 4.7348,                 1.3927,               0.003268,               0.003268,               0.003268
                     19,                0.29276,                 1.0228,                  1.046,                  0.407,                0.08246,                 0.1104,                0.09515,                0.55842,                 4.5888,                 1.3718,               0.002872,               0.002872,               0.002872
                     20,                 0.2825,                0.88201,                 1.0435,                 0.4155,                0.07187,                0.08995,                0.07981,                0.56169,                 4.4686,                 1.3857,               0.002476,               0.002476,               0.002476
                     21,                0.27576,                 0.7981,                 1.0604,                0.43137,                0.06314,                0.10429,                0.08879,                0.57293,                 4.5267,                 1.4042,                0.00208,                0.00208,                0.00208
                     22,                0.25651,                0.73808,                  1.038,                 0.3756,                0.05175,                 0.0805,                0.07176,                0.56184,                 4.4918,                 1.4043,               0.001684,               0.001684,               0.001684
                     23,                 0.2607,                  0.721,                 1.0673,                0.38255,                0.04973,                0.09816,                0.08683,                0.55182,                  4.484,                 1.3518,               0.001288,               0.001288,               0.001288
                     24,                0.25448,                0.62578,                 1.0278,                0.03917,                0.24386,                0.12317,                0.11228,                0.55784,                  4.484,                 1.3452,               0.000892,               0.000892,               0.000892
